일시,발전구분,지역,지점번호,합산발전량(MWh),기온(°C),강수량(mm),일조(hr),일사(MJ/m2),__dt__,hour,dayofweek,month,is_weekend,hour_sin,hour_cos,month_sin,month_cos,_y_true,_y_pred,_residual,_abs_err,_is_outlier,_rule
2023-09-03 07:00:00,고흥만 수상태양광,전라남도 고흥군,262,0.0,23.7,0.0,0.0,0.0,2023-09-03 07:00:00,7,6,9,1,0.9659258262890683,-0.25881904510252063,-1.0,-1.8369701987210297e-16,0.0,4066.644,-4066.64404296875,4066.64404296875,1,abs_err > mean+3σ (thr=2124.489)
2023-09-03 08:00:00,고흥만 수상태양광,전라남도 고흥군,262,0.0,23.2,0.0,0.0,0.0,2023-09-03 08:00:00,8,6,9,1,0.8660254037844387,-0.4999999999999998,-1.0,-1.8369701987210297e-16,0.0,7961.1284,-7961.12841796875,7961.12841796875,1,abs_err > mean+3σ (thr=2124.489)
2023-09-03 09:00:00,고흥만 수상태양광,전라남도 고흥군,262,0.0,23.9,0.0,0.0,0.0,2023-09-03 09:00:00,9,6,9,1,0.7071067811865476,-0.7071067811865475,-1.0,-1.8369701987210297e-16,0.0,8402.724,-8402.7236328125,8402.7236328125,1,abs_err > mean+3σ (thr=2124.489)
2023-09-03 10:00:00,고흥만 수상태양광,전라남도 고흥군,262,0.0,25.2,0.0,0.0,0.0,2023-09-03 10:00:00,10,6,9,1,0.49999999999999994,-0.8660254037844387,-1.0,-1.8369701987210297e-16,0.0,9589.859,-9589.859375,9589.859375,1,abs_err > mean+3σ (thr=2124.489)
2023-09-03 11:00:00,고흥만 수상태양광,전라남도 고흥군,262,0.0,26.8,0.0,0.7,0.0,2023-09-03 11:00:00,11,6,9,1,0.258819045102521,-0.9659258262890682,-1.0,-1.8369701987210297e-16,0.0,11073.209,-11073.208984375,11073.208984375,1,abs_err > mean+3σ (thr=2124.489)
2023-09-03 12:00:00,고흥만 수상태양광,전라남도 고흥군,262,0.0,28.8,0.0,1.0,0.0,2023-09-03 12:00:00,12,6,9,1,1.2246467991473532e-16,-1.0,-1.0,-1.8369701987210297e-16,0.0,9961.857,-9961.857421875,9961.857421875,1,abs_err > mean+3σ (thr=2124.489)
2023-09-03 13:00:00,고흥만 수상태양광,전라남도 고흥군,262,0.0,29.0,0.0,0.9,0.0,2023-09-03 13:00:00,13,6,9,1,-0.2588190451025208,-0.9659258262890683,-1.0,-1.8369701987210297e-16,0.0,10012.878,-10012.8779296875,10012.8779296875,1,abs_err > mean+3σ (thr=2124.489)
2023-09-03 14:00:00,고흥만 수상태양광,전라남도 고흥군,262,0.0,29.1,0.0,1.0,0.0,2023-09-03 14:00:00,14,6,9,1,-0.4999999999999997,-0.8660254037844388,-1.0,-1.8369701987210297e-16,0.0,10245.684,-10245.68359375,10245.68359375,1,abs_err > mean+3σ (thr=2124.489)
2023-09-03 15:00:00,고흥만 수상태양광,전라남도 고흥군,262,0.0,28.3,0.0,0.7,0.0,2023-09-03 15:00:00,15,6,9,1,-0.7071067811865471,-0.7071067811865479,-1.0,-1.8369701987210297e-16,0.0,9841.111,-9841.111328125,9841.111328125,1,abs_err > mean+3σ (thr=2124.489)
2023-09-03 16:00:00,고흥만 수상태양광,전라남도 고흥군,262,0.0,27.9,0.0,0.7,0.0,2023-09-03 16:00:00,16,6,9,1,-0.8660254037844385,-0.5000000000000004,-1.0,-1.8369701987210297e-16,0.0,9511.94,-9511.9404296875,9511.9404296875,1,abs_err > mean+3σ (thr=2124.489)
2023-09-03 17:00:00,고흥만 수상태양광,전라남도 고흥군,262,0.0,28.1,0.0,0.9,0.0,2023-09-03 17:00:00,17,6,9,1,-0.9659258262890683,-0.25881904510252063,-1.0,-1.8369701987210297e-16,0.0,4304.7344,-4304.734375,4304.734375,1,abs_err > mean+3σ (thr=2124.489)
2023-09-04 07:00:00,고흥만 수상태양광,전라남도 고흥군,262,0.0,23.7,0.0,0.1,0.0,2023-09-04 07:00:00,7,0,9,0,0.9659258262890683,-0.25881904510252063,-1.0,-1.8369701987210297e-16,0.0,5430.0674,-5430.0673828125,5430.0673828125,1,abs_err > mean+3σ (thr=2124.489)
2023-09-04 08:00:00,고흥만 수상태양광,전라남도 고흥군,262,0.0,24.8,0.0,1.0,0.0,2023-09-04 08:00:00,8,0,9,0,0.8660254037844387,-0.4999999999999998,-1.0,-1.8369701987210297e-16,0.0,9182.708,-9182.7080078125,9182.7080078125,1,abs_err > mean+3σ (thr=2124.489)
2023-09-04 09:00:00,고흥만 수상태양광,전라남도 고흥군,262,0.0,26.7,0.0,1.0,0.0,2023-09-04 09:00:00,9,0,9,0,0.7071067811865476,-0.7071067811865475,-1.0,-1.8369701987210297e-16,0.0,10415.312,-10415.3115234375,10415.3115234375,1,abs_err > mean+3σ (thr=2124.489)
2023-09-04 10:00:00,고흥만 수상태양광,전라남도 고흥군,262,0.0,28.0,0.0,0.9,0.0,2023-09-04 10:00:00,10,0,9,0,0.49999999999999994,-0.8660254037844387,-1.0,-1.8369701987210297e-16,0.0,10023.548,-10023.5478515625,10023.5478515625,1,abs_err > mean+3σ (thr=2124.489)
2023-09-04 11:00:00,고흥만 수상태양광,전라남도 고흥군,262,0.0,28.8,0.0,0.9,0.0,2023-09-04 11:00:00,11,0,9,0,0.258819045102521,-0.9659258262890682,-1.0,-1.8369701987210297e-16,0.0,10386.14,-10386.1396484375,10386.1396484375,1,abs_err > mean+3σ (thr=2124.489)
2023-09-04 12:00:00,고흥만 수상태양광,전라남도 고흥군,262,0.0,29.8,0.0,0.9,0.0,2023-09-04 12:00:00,12,0,9,0,1.2246467991473532e-16,-1.0,-1.0,-1.8369701987210297e-16,0.0,10092.884,-10092.8837890625,10092.8837890625,1,abs_err > mean+3σ (thr=2124.489)
2023-09-04 13:00:00,고흥만 수상태양광,전라남도 고흥군,262,0.0,30.9,0.0,1.0,0.0,2023-09-04 13:00:00,13,0,9,0,-0.2588190451025208,-0.9659258262890683,-1.0,-1.8369701987210297e-16,0.0,10016.959,-10016.958984375,10016.958984375,1,abs_err > mean+3σ (thr=2124.489)
2023-09-04 14:00:00,고흥만 수상태양광,전라남도 고흥군,262,0.0,30.0,0.0,0.7,0.0,2023-09-04 14:00:00,14,0,9,0,-0.4999999999999997,-0.8660254037844388,-1.0,-1.8369701987210297e-16,0.0,10365.068,-10365.068359375,10365.068359375,1,abs_err > mean+3σ (thr=2124.489)
2023-09-04 15:00:00,고흥만 수상태양광,전라남도 고흥군,262,0.0,29.4,0.0,0.9,0.0,2023-09-04 15:00:00,15,0,9,0,-0.7071067811865471,-0.7071067811865479,-1.0,-1.8369701987210297e-16,0.0,9441.066,-9441.06640625,9441.06640625,1,abs_err > mean+3σ (thr=2124.489)
2023-09-04 16:00:00,고흥만 수상태양광,전라남도 고흥군,262,0.0,30.2,0.0,0.9,0.0,2023-09-04 16:00:00,16,0,9,0,-0.8660254037844385,-0.5000000000000004,-1.0,-1.8369701987210297e-16,0.0,7606.3813,-7606.38134765625,7606.38134765625,1,abs_err > mean+3σ (thr=2124.489)
2023-09-04 17:00:00,고흥만 수상태양광,전라남도 고흥군,262,0.0,29.2,0.0,0.8,0.0,2023-09-04 17:00:00,17,0,9,0,-0.9659258262890683,-0.25881904510252063,-1.0,-1.8369701987210297e-16,0.0,3912.7979,-3912.7978515625,3912.7978515625,1,abs_err > mean+3σ (thr=2124.489)
2023-09-05 07:00:00,고흥만 수상태양광,전라남도 고흥군,262,0.0,22.3,0.0,0.1,0.0,2023-09-05 07:00:00,7,1,9,0,0.9659258262890683,-0.25881904510252063,-1.0,-1.8369701987210297e-16,0.0,5437.2227,-5437.22265625,5437.22265625,1,abs_err > mean+3σ (thr=2124.489)
2023-09-05 08:00:00,고흥만 수상태양광,전라남도 고흥군,262,0.0,25.0,0.0,1.0,0.0,2023-09-05 08:00:00,8,1,9,0,0.8660254037844387,-0.4999999999999998,-1.0,-1.8369701987210297e-16,0.0,8344.08,-8344.080078125,8344.080078125,1,abs_err > mean+3σ (thr=2124.489)
2023-09-05 09:00:00,고흥만 수상태양광,전라남도 고흥군,262,0.0,26.5,0.0,0.9,0.0,2023-09-05 09:00:00,9,1,9,0,0.7071067811865476,-0.7071067811865475,-1.0,-1.8369701987210297e-16,0.0,9881.399,-9881.3994140625,9881.3994140625,1,abs_err > mean+3σ (thr=2124.489)
2023-09-05 10:00:00,고흥만 수상태양광,전라남도 고흥군,262,0.0,27.7,0.0,1.0,0.0,2023-09-05 10:00:00,10,1,9,0,0.49999999999999994,-0.8660254037844387,-1.0,-1.8369701987210297e-16,0.0,9495.013,-9495.0126953125,9495.0126953125,1,abs_err > mean+3σ (thr=2124.489)
2023-09-05 11:00:00,고흥만 수상태양광,전라남도 고흥군,262,0.0,28.8,0.0,1.0,0.0,2023-09-05 11:00:00,11,1,9,0,0.258819045102521,-0.9659258262890682,-1.0,-1.8369701987210297e-16,0.0,10344.457,-10344.45703125,10344.45703125,1,abs_err > mean+3σ (thr=2124.489)
2023-09-05 12:00:00,고흥만 수상태양광,전라남도 고흥군,262,1991.136,29.0,0.0,1.0,0.0,2023-09-05 12:00:00,12,1,9,0,1.2246467991473532e-16,-1.0,-1.0,-1.8369701987210297e-16,1991.136,12983.741,-10992.6052109375,10992.6052109375,1,abs_err > mean+3σ (thr=2124.489)
2023-09-05 13:00:00,고흥만 수상태양광,전라남도 고흥군,262,2090.34,29.0,0.0,0.7,0.0,2023-09-05 13:00:00,13,1,9,0,-0.2588190451025208,-0.9659258262890683,-1.0,-1.8369701987210297e-16,2090.34,11740.373,-9650.033046875,9650.033046875,1,abs_err > mean+3σ (thr=2124.489)
2023-09-05 14:00:00,고흥만 수상태양광,전라남도 고흥군,262,4913.076,28.6,0.0,0.4,0.0,2023-09-05 14:00:00,14,1,9,0,-0.4999999999999997,-0.8660254037844388,-1.0,-1.8369701987210297e-16,4913.076,13663.403,-8750.327320312499,8750.327320312499,1,abs_err > mean+3σ (thr=2124.489)
2023-09-05 16:00:00,고흥만 수상태양광,전라남도 고흥군,262,20319.852,30.1,0.0,0.9,0.0,2023-09-05 16:00:00,16,1,9,0,-0.8660254037844385,-0.5000000000000004,-1.0,-1.8369701987210297e-16,20319.852,14306.665,6013.186960937499,6013.186960937499,1,abs_err > mean+3σ (thr=2124.489)
2023-09-06 10:00:00,고흥만 수상태양광,전라남도 고흥군,262,42223.776,27.4,0.0,1.0,0.0,2023-09-06 10:00:00,10,2,9,0,0.49999999999999994,-0.8660254037844387,-1.0,-1.8369701987210297e-16,42223.776,39178.727,3045.049437499998,3045.049437499998,1,abs_err > mean+3σ (thr=2124.489)
2023-09-06 11:00:00,고흥만 수상태양광,전라남도 고흥군,262,46443.6,28.5,0.0,0.9,0.0,2023-09-06 11:00:00,11,2,9,0,0.258819045102521,-0.9659258262890682,-1.0,-1.8369701987210297e-16,46443.6,36634.777,9808.822656249999,9808.822656249999,1,abs_err > mean+3σ (thr=2124.489)
2023-09-06 12:00:00,고흥만 수상태양광,전라남도 고흥군,262,47271.168,28.9,0.0,0.9,0.0,2023-09-06 12:00:00,12,2,9,0,1.2246467991473532e-16,-1.0,-1.0,-1.8369701987210297e-16,47271.168,38614.13,8657.039093749998,8657.039093749998,1,abs_err > mean+3σ (thr=2124.489)
2023-09-06 13:00:00,고흥만 수상태양광,전라남도 고흥군,262,43459.668,29.6,0.0,1.0,0.0,2023-09-06 13:00:00,13,2,9,0,-0.2588190451025208,-0.9659258262890683,-1.0,-1.8369701987210297e-16,43459.668,34697.652,8762.015656249998,8762.015656249998,1,abs_err > mean+3σ (thr=2124.489)
2023-09-06 14:00:00,고흥만 수상태양광,전라남도 고흥군,262,40314.036,30.6,0.0,1.0,0.0,2023-09-06 14:00:00,14,2,9,0,-0.4999999999999997,-0.8660254037844388,-1.0,-1.8369701987210297e-16,40314.036,35484.316,4829.71959375,4829.71959375,1,abs_err > mean+3σ (thr=2124.489)
2023-09-06 15:00:00,고흥만 수상태양광,전라남도 고흥군,262,29210.832,29.1,0.0,0.9,0.0,2023-09-06 15:00:00,15,2,9,0,-0.7071067811865471,-0.7071067811865479,-1.0,-1.8369701987210297e-16,29210.832,26505.254,2705.5780937499985,2705.5780937499985,1,abs_err > mean+3σ (thr=2124.489)
2023-09-06 16:00:00,고흥만 수상태양광,전라남도 고흥군,262,4167.996,28.1,0.0,0.6,0.0,2023-09-06 16:00:00,16,2,9,0,-0.8660254037844385,-0.5000000000000004,-1.0,-1.8369701987210297e-16,4167.996,13185.713,-9017.716890625,9017.716890625,1,abs_err > mean+3σ (thr=2124.489)
2023-09-07 07:00:00,고흥만 수상태양광,전라남도 고흥군,262,10756.284,19.4,0.0,0.1,0.0,2023-09-07 07:00:00,7,3,9,0,0.9659258262890683,-0.25881904510252063,-1.0,-1.8369701987210297e-16,10756.284,8623.266,2133.0183749999997,2133.0183749999997,1,abs_err > mean+3σ (thr=2124.489)
2023-09-07 08:00:00,고흥만 수상태양광,전라남도 고흥군,262,25273.164,23.6,0.0,1.0,0.0,2023-09-07 08:00:00,8,3,9,0,0.8660254037844387,-0.4999999999999998,-1.0,-1.8369701987210297e-16,25273.164,22189.469,3083.6952500000007,3083.6952500000007,1,abs_err > mean+3σ (thr=2124.489)
2023-09-07 09:00:00,고흥만 수상태양광,전라남도 고흥군,262,37747.332,24.9,0.0,1.0,0.0,2023-09-07 09:00:00,9,3,9,0,0.7071067811865476,-0.7071067811865475,-1.0,-1.8369701987210297e-16,37747.332,33134.277,4613.054656250002,4613.054656250002,1,abs_err > mean+3σ (thr=2124.489)
2023-09-07 10:00:00,고흥만 수상태양광,전라남도 고흥군,262,46086.096,25.7,0.0,1.0,0.0,2023-09-07 10:00:00,10,3,9,0,0.49999999999999994,-0.8660254037844387,-1.0,-1.8369701987210297e-16,46086.096,39823.297,6262.799124999998,6262.799124999998,1,abs_err > mean+3σ (thr=2124.489)
2023-09-07 11:00:00,고흥만 수상태양광,전라남도 고흥군,262,50591.184,26.8,0.0,1.0,0.0,2023-09-07 11:00:00,11,3,9,0,0.258819045102521,-0.9659258262890682,-1.0,-1.8369701987210297e-16,50591.184,43537.805,7053.379312500001,7053.379312500001,1,abs_err > mean+3σ (thr=2124.489)
2023-09-07 12:00:00,고흥만 수상태양광,전라남도 고흥군,262,49556.388,27.5,0.0,1.0,0.0,2023-09-07 12:00:00,12,3,9,0,1.2246467991473532e-16,-1.0,-1.0,-1.8369701987210297e-16,49556.388,45328.42,4227.966124999999,4227.966124999999,1,abs_err > mean+3σ (thr=2124.489)
2023-09-07 13:00:00,고흥만 수상태양광,전라남도 고흥군,262,47675.376,28.0,0.0,1.0,0.0,2023-09-07 13:00:00,13,3,9,0,-0.2588190451025208,-0.9659258262890683,-1.0,-1.8369701987210297e-16,47675.376,43149.64,4525.735374999997,4525.735374999997,1,abs_err > mean+3σ (thr=2124.489)
2023-09-07 14:00:00,고흥만 수상태양광,전라남도 고흥군,262,42428.148,28.6,0.0,0.9,0.0,2023-09-07 14:00:00,14,3,9,0,-0.4999999999999997,-0.8660254037844388,-1.0,-1.8369701987210297e-16,42428.148,35787.758,6640.390187500001,6640.390187500001,1,abs_err > mean+3σ (thr=2124.489)
2023-09-07 15:00:00,고흥만 수상태양광,전라남도 고흥군,262,33940.872,28.5,0.0,1.0,0.0,2023-09-07 15:00:00,15,3,9,0,-0.7071067811865471,-0.7071067811865479,-1.0,-1.8369701987210297e-16,33940.872,27453.162,6487.709890625003,6487.709890625003,1,abs_err > mean+3σ (thr=2124.489)
2023-09-07 16:00:00,고흥만 수상태양광,전라남도 고흥군,262,22807.848,28.3,0.0,1.0,0.0,2023-09-07 16:00:00,16,3,9,0,-0.8660254037844385,-0.5000000000000004,-1.0,-1.8369701987210297e-16,22807.848,17391.246,5416.601906250002,5416.601906250002,1,abs_err > mean+3σ (thr=2124.489)
2023-09-07 17:00:00,고흥만 수상태양광,전라남도 고흥군,262,10097.22,27.9,0.0,1.0,0.0,2023-09-07 17:00:00,17,3,9,0,-0.9659258262890683,-0.25881904510252063,-1.0,-1.8369701987210297e-16,10097.22,6973.4434,3123.7766406249993,3123.7766406249993,1,abs_err > mean+3σ (thr=2124.489)
2023-09-08 07:00:00,고흥만 수상태양광,전라남도 고흥군,262,10784.592,20.6,0.0,0.1,0.0,2023-09-08 07:00:00,7,4,9,0,0.9659258262890683,-0.25881904510252063,-1.0,-1.8369701987210297e-16,10784.592,8501.031,2283.5607500000006,2283.5607500000006,1,abs_err > mean+3σ (thr=2124.489)
2023-09-08 08:00:00,고흥만 수상태양광,전라남도 고흥군,262,24868.2,21.2,0.0,1.0,0.0,2023-09-08 08:00:00,8,4,9,0,0.8660254037844387,-0.4999999999999998,-1.0,-1.8369701987210297e-16,24868.2,22272.758,2595.4421875000007,2595.4421875000007,1,abs_err > mean+3σ (thr=2124.489)
2023-09-08 09:00:00,고흥만 수상태양광,전라남도 고흥군,262,36129.24,24.1,0.0,0.9,0.0,2023-09-08 09:00:00,9,4,9,0,0.7071067811865476,-0.7071067811865475,-1.0,-1.8369701987210297e-16,36129.24,30736.145,5393.095468749998,5393.095468749998,1,abs_err > mean+3σ (thr=2124.489)
2023-09-08 10:00:00,고흥만 수상태양광,전라남도 고흥군,262,44604.924,25.3,0.0,1.0,0.0,2023-09-08 10:00:00,10,4,9,0,0.49999999999999994,-0.8660254037844387,-1.0,-1.8369701987210297e-16,44604.924,40229.273,4375.650562499999,4375.650562499999,1,abs_err > mean+3σ (thr=2124.489)
2023-09-08 11:00:00,고흥만 수상태양광,전라남도 고흥군,262,49646.52,26.4,0.0,1.0,0.0,2023-09-08 11:00:00,11,4,9,0,0.258819045102521,-0.9659258262890682,-1.0,-1.8369701987210297e-16,49646.52,43943.78,5702.738749999997,5702.738749999997,1,abs_err > mean+3σ (thr=2124.489)
2023-09-08 12:00:00,고흥만 수상태양광,전라남도 고흥군,262,51137.772,26.4,0.0,1.0,0.0,2023-09-08 12:00:00,12,4,9,0,1.2246467991473532e-16,-1.0,-1.0,-1.8369701987210297e-16,51137.772,45497.652,5640.119656249997,5640.119656249997,1,abs_err > mean+3σ (thr=2124.489)
2023-09-08 14:00:00,고흥만 수상태양광,전라남도 고흥군,262,39590.124,28.2,0.0,0.8,0.0,2023-09-08 14:00:00,14,4,9,0,-0.4999999999999997,-0.8660254037844388,-1.0,-1.8369701987210297e-16,39590.124,31493.336,8096.788062500003,8096.788062500003,1,abs_err > mean+3σ (thr=2124.489)
2023-09-08 15:00:00,고흥만 수상태양광,전라남도 고흥군,262,34992.132,27.9,0.0,0.9,0.0,2023-09-08 15:00:00,15,4,9,0,-0.7071067811865471,-0.7071067811865479,-1.0,-1.8369701987210297e-16,34992.132,27516.648,7475.483562499998,7475.483562499998,1,abs_err > mean+3σ (thr=2124.489)
